region,where_you_work,current_work_area,salaried_hourly,feel_like_owner,owner_feel_job_impact,what_else_feels_like_owner,increase_sense_of_ownership,owner_sense_job_impact,psp_most_important_part,psp_most_confusing_part
1,3,5,s,Sometimes,It makes me want to what I can to contribute to HEB,The freedom to use my judgment to take care of a customer even if I'm not a manager. VPP card perks.,,,"All three components: the beginning balance (for context), the return and allocation (to understand how we performed this year), and the ending balance (to know the current value of my stock).",No
,,,,,,,,,,
7,3,1,H,Yes,,,,,,
7,3,1,H,Privileged Yes,Makes me feel more responsible for our success,Nothing anymore,,,,
5,3,1,h,yes,It reminds me to treat the store like a home and partners like family,that's it,,,ending balance,no
,,,,,,,,,,
,,,,,,,,,,
3,3,1,H,Yes,Makes me care about my job more. What happens to products and the way partners treat people all affect the outcome of the store it just matters more,Being in the front end helps see what it means to be an owener and everything it takes,,,Allocation I don’t know,No
,,,,,,,,,,
7,3,1,H,Yes,Grateful,Partner perks,,,Net return,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3,3,1,H,Yes. An owner and a partner.,I am more confident and work harder in a better mood daily and in a better frame of mind.,I am allowed to take some time and learn about our customers and how they feel about HEB and me.,,,Part 2 because it tells me that we are growing all of the time.,"No, I have an accounting degree so this is all basic."
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,i sure do,,,,,,
1,3,6,s,sort of,"very little - it is not a negative at all, but the ownership is so low that i would not say that it has significant impact",accountability and impact - being able to influence decisions,,,ending balance.  The dollar amount and number of units help understand the total value of contribution,no.  the statement is clear to me
,,,,,,,,,,
,,,,,,,,,,
7,3,6,S,Yes,"I feel that as an owner, I need to think about the customers first and show up daily. I also need to represent the company when I’m not working.",Bonus and discounts. Freedom to experiment in my work.,,,Allocation The allocation and return are most important. They speak to the health of the company and whether we are focusing on the right things.,No
1,3,1,H,Sometimes,Impacts it alot,Na Partner share for leads,,,Ending balance because I like to know how much is in my account,No
,,,,,,,,,,
,,,,,,,,,,
5,3,1,H,Kinda,"Good As an owner, I'll do my best to do the best for customers by providing them with items on shelf, clean and save environment for them to shop.",Vpp Vpp 10% off,,,Allocation I consider Allocation increase because it feels good,No
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,A little,I’m always reminding partners to be careful when handling product and stocking to the shelf,Helping my manager on some decision making that will help the store and our customer,,,"Net return , cause it shows us what we did to help improve gains and losses. And with that we can work on building our sales and help control shrink to get a better return.","The allocation, I’m trying to understand about the allocation and units"
3,3,1,H,Not really,,,I don't know,I always work hard except when I'm sick.,If I had to pick something it would be the allocation. It shows how well the company did reflected in our accounts. Of course since I am only part time I don't get much of a raise in this regardless.  I don't care about how many stocks I have anyways though I appreciate it regardless. I'll always work hard. I would rather have time and attendance strikes eased up as two strikes at once for calling in sick for one day is ridiculously ludacris. It feels like I'm gonna be fired just for being sick and helping to not spread it around by staying home.,No I understand it perfectly.
,,,,,,,,,,
7,3,1,S,Yes,Personal ownership and how I can impact the business in a positive way,The responsibility I am given to develop partners and impact the community under the H-E-B brand,,,"Ending balance, to track progress of the account during my time here",No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,Yes,I wanna do my job like if I was the only owner,"Heat benefits,also the Great pay raises we have been getting",,,I would so the allocation because it tells you how well we are doing as a store/company,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
6,3,5,S,A little,It makes me think through decisions on how it impacts the company,Nothing,,,The ending balance because it shows how much I personally have,No
1,3,1,H,Yes,Like a owner,Good Management,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,Yes,I represent HEB,I'm a Department Manager,,,I don't really look at it,No
,,,,,,,,,,
1,3,1,H,Yes,It makes me think more broadly than just my department,This is my home. I've been here a long time and love it so I take care of it,,,Allocation and return,No
,,,,,,,,,,
1,3,1,H,Yes,I can make decisions for customer service if an MIC or top store leaders are not available.,I honestly don't consider myself an owner! I consider myself part of a family with HEB,,,,
,,,,,,,,,,
5,3,1,H,No,,,Listen to Partners more and implement changes and new technology more quickly,"I would have a greater sense of pride, but it would also make it easier as well if some of the changes myself and my co-Partners have mentioned were implemented","I think the Net Return on Investment is the most important, it shows what we have earned on the money we have invested with the company","No, I think it is pretty clear and straightforward"
7,3,5,S,Yes,I truly care about the company and about the impact that I make towards its success.,The abundance of communication that we all receive from senior leadership. Makes me really feel like I matter.,,,"The second, net return on investment.",No. Pretty straightforward.
,,,,,,,,,,
7,3,5,S,Not really,,,Well just having stock doesn’t make me an owner. I don’t have control or reap the beneifits year to year of the massive profit swings. I just get whatever % leadership provides. It’s a fantastic benefit but doesn’t make me feel like an owner.,Not really change a lot I’m still going to complete my job well and do the job I’m paid for. I guess I’d feel more pride when H‑E‑B is successful if I had a sense of ownership.,The allocation and amount so I know where I sit,The part where it says I have an ownership stake as I don’t know what that means for me
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2,3,1,H,No,,,Don't know,,,
,,,,,,,,,,
5,3,1,H,I love it,I don’t know,,,,,
5,3,1,H,Not really,,,More choices across the board and how we feel as managers to partners that really need help,More on me as a manager and everyone doesn’t take ownership,Everything explaining it to partners so they understand what ownership really instills,
,,,,,,,,,,
1,3,1,,,,,,,,
7,3,5,S,Yes,Encourages me to work hard,Knowing information on the company,,,Ending balance,
,,,,,,,,,,
7,3,1,H,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,S,Yes,"It makes me think, work, strategize and prioritize like an owner; always keeping the bottom line top of mind and company success as the ultimate goal.","Transparency in company decisions and operations. Ability to make decisions I think are best in my area. Asking us for feedback, and actually delivering on it.",,,1) Allocation; because it makes the biggest difference 2) net return; because it makes the second biggest difference after allocation,No
7,3,5,s,yes,makes my decision-making process more in-depth than strictly numbers and analytics,the ability to make decisions and the trust in my leaders. as well as creating process to better the direction we work,,,all of it because i like to know how the investments are doing,"it would be nice to know what factors go into the Net Returns and ""dividends"" as a comparative value"
5,3,1,H,Yes,Encouraging Makes me want to help more with customer service and satisfied customers.  Also stocking the shelfs and making sure we have plenty in stock.,Feeling needed at my store,,,"Allocation, because you have something to look forward too",Ending balance? A little confused on that
,,,,,,,,,,
7,3,5,s,Sorta,I think it makes me push harder and not settle for mediocrity,Team events,,,Ending balance. at the end of the day I mean that's what matters,no
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,S,Yes,I make choices thinking through long-term outlook for the company.  I have a vested interest.,"timely business updates, my ideas feel valued, the work I do makes an impact",,,"The entire thing is important, but I would like to see more attention on the stock price and stock price history, and potentially competitor stock prices for the last year as well (since our valuation is in part derived from them).   I think calling more attention to dividends should be in the statement as well.",I think the stock price return and Dividend should be separated into two sections
2,3,1,H,Yes,It impacts a lot in a huge way. I feel I want to help more customers find what they need. Talk to customers and make them come back,I’m very proud to be a 33 year partner. I love what I do at HEB every day,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,S,Sometimes,It’s hard to see because I have never worked at stores. I feel like I would be more connected to being an owner if I had store experience,Being communicated to about our company’s direction and performance,,,Net return,I think this document lays everything out well. I have not seen this before.
1,3,1,H,Yes,Keeps me wanting to ALWAYS do my best,When I'm able to see our sales and how we are performing versus other stores in the area,,,The allocation part shows me how much my account it growing,No
7,3,5,S,Most definitely!,Pushes me to work harder for our customers & our company,Being included in company updates & knowing the inner workings of our company that others can't see,,,The Allocation of how we did for the year & my ending balance to know where I currently stand,I do not find anything confusing on the statement
7,I don't work at any of those,5,s,yes,doesn't affect it at all,no,,,none,no
7,3,5,s,I do. Even when I'm in stores I feel that I should be aware of appearance and operations to ensure H-E-B is represented well.,Feeling like an owner enhances job performance. Feeling like an owner creates a connection to the company. I want to do my best to ensure that the company is successful. Other Partners and I own the company. It's our responsibility.,Collaboration with other Partners to achieve success and to reach goals. As owners and partners we have a commitment to each other to excel.,,,Net return on investment because it shows overall health of the company.,It is straight-forward.
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,No,,,"More appreciation from above , and better team work on very busy days when is a high demand for more people . Is hard to have a good customer service when you are working with short staff special in the afternoon. Also from what I heard if H‑E‑B terminate your job you have to wait more than a year to get your stock plan . It does not feel like you can enjoy your earnings in time","I think I am doing my best and I am very thankful for my job ,",Ending balance because it shows the amount that you own,No
8,3,1,H,Yes,It motivates me to do my job well and take pride in what I do.,"When H-E-B keeps us up to date on everything happening, it makes me feel included.",,,"Allocation, because it's a target percentage for me to aim for each time.",No
Houston,1,1,H,Yes,Do my best customer service,Customer feed back,,,All three,Would like to my year contributions
,,,,,,,,,,
5,3,5,S,sometimes,Makes me work more than what’s expected.,Nothing,,,Net return on investment,No
,,,,,,,,,,
7,1,5,s,yes,I pay attention more to things that i need to do with others and with outside partners/vendors.  take pride in what we are and what our company does,nothing,,,"the entire sheet.  very informative and lets me know how, as a company, we are doing.",no it is pretty self explanitory
7,3,5,s,yes,Gives a higher level of engagement - your actions have reactions within the business,empowerment from leadership,,,this years allocation & the ending balance,"no, not confusing"
5,3,1,H,Yes I do I love that this company has this perk,I feel more responsible for the store and company’s well being and do my best to promote Heb,Being consulted about company performance and direction,,,Ending balance,No
,,,,,,,,,,
6,3,1,H,Yes,Have more pride in what we do,,,,,
1,3,1,H,Yes,It makes me do the best job I can. I always keep rhe customers in mind when performing my job. I also keep in mind how the way I do would have an impact on HEB's image.,Knowing if I do the best job I can it will benefit the growth and longevity of HEB.,,,,
,,,,,,,,,,
1,3,1,H,"Sometimes, yes. Especially when I get the report that shows my earnings for the year! Or when a customer asks me a question and I can answer it with confidence about a product that I have used and am familiar with.",I enjoy working and try to make each customer feel they have had a great shopping experience so they will want to return.,I like being able to adjust my schedule if needed. That isn't always possible with a lot of employers.,,,I look at the beginning and ending balance first! I want to know what kind of gain I've made. That is the important thing to me. Then I look at the other things. I may not understand it all but I can figure out profit and loss.,"Is not really confusing, just some terms that I may not be familiar with. But I do understand the overall statement."
,,,,,,,,,,
,,,,,,,,,,
7,3,5,S,,,,,,,
7,3,1,,,,,,,,
,,,,,,,,,,
5,3,1,S,Yes,"It empowers me to make decisions faster without fear and to do what is needed to take care of the Partners, the Customers, and the Community.",The Bold Promise,,,Allocation- because it is a good indicator of the health of the business,"I personally do not find anything confusing. However, I field questions from hourly Partners every year that do not have any/as much experience with stock as I do.  They do not easily connect this information to their own financial health."
,,,,,,,,,,
7,3,5,h,I guess not since I really do not know the answer to this question,It doesnt,Nothing really,,,Ending balance,nothing
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,1,1,H,Yes,I work proudly,Whenever I'm stoped by costomer who's looking for bath soap I just happened to know the aisle number,,,,
Central texas,3,1,H,Yes,It definitely has a positive impact,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,S,Yes,"You are rewarded for the success of the company.   So, that drives you to give your best effort.",Providing ideas and being in the know of what's going on throughout the organization,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,Yes,"It is important to provide excellent customer service, be a role model for other partners, and to keep the company’s mission statement/ goals as well as minimizing expenses",My ability to help impact company’s earnings and profitability ratios.,,,,
7,3,1,H,Yes,Work harder,Vacation I am good,,,Great Company giving back,No
5,3,1,H,Yes,It impacts me in ways to do more for other partners and to do stuff outside of my department and be more willing to help,"Being called a partner, making key decision in my position, helping other below and above me",,,"Allocation, it makes me feel like my hard work was worth and towards a piece of the company value and profit",No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,6,s,I already answered that question,,,no Voting on what charities/initiatives HEB contributes to,next question,"All of them. I'd also like to see how this year compares to other years, in terms of company metrics and stock price metrics. I'd also like to see a ""Percent ownership"" here, or information on number of outstanding shares, or a link to the detailed analysis the third-party evaluator put together.","No parts are confusing. The part that confused me the most was that my balance was 0 on the ""day I entered the plan"""
1,3,1,H,Yup,It doesn't I have always love HEB thus I am proud to work for them.,HEB strides to help people in need and that's what matters to me.,,,I really don't look at it because as long as I work there that what really matters to me.,No if I really sit and read it I know it is selfexplanatory
,,,,,,,,,,
,,,,,,,,,,
7,3,6,h,Proud Yes,yes Being an owner makes me think of ways to improve or help the company.,Having leaders listen to our suggestions,,,Net return on investment.,No
7,3,1,H,Yes,I work harder. But it's not clear to me what that looks like on a daily basis. I know we can get an allocation at the end of the year.,Having direct contact with the metrics of HEB. Or knowing how HEB's and my choices affect the business.,,,Stock value to see if we have grown,I don't understand how these values are calculated. Or how my contribution affects these.
7,3,6,s,yes,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,Haven't really given it much thought,,,Nothing really just my fault for not checking it regularly,I give 100% no matter what,First and last,No not at all
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5,3,1,H,Yes I do and I think it is awesome !,I would like to think I would a good job either way. I do the best I can.,The company and the way it rakes care of its partners.,,,Net return allocation and ending balance,None at all
2,3,1,H,Yes,Well as an owner and currently have a semi deficult pregnancy YALL do make it hard for hours. I mean before I was ok with working the hours thrown at me but now with a hard pregnancy I’m not even being scheduled most days I went from being part time and getting 37-40 hours a week to walking away with maybe 16 if I’m lucky,I don’t receive any compensation. As an owner I’ve showed up to work and done the task at hand for my hours I work though pain just to continue having hours.,,,Most important is what H‑E‑B makes to me. So we can continue to get hours and add items for our stores,No I do not
,,,,,,,,,,
,,,,,,,,,,
7,0,3,S,,YES Take job performance personally,Being accountable,,,Allocation Allocation tells me how and the company are doing,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,s,Yes,I think very carefully about the decisions that I make that impact the company and our Partners,The empowerment and autonomy I have in my role that is supported by my leaders,,,The beginning balance and ending balance,Nothing is confusing
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,No,,,Nothing really.,Let me keep thing about it.,,
,,,,,,,,,,
,,,,,,,,,,
8,3,1,H,Yea,Makes me work harder,,,,,
7,3,1,H,"Yes, very much so and highly appreciated to me and my family!!!",It makes me feel appreciated by HEB and in control of my career now and till I retire,Knowing that HEB is truly one or the best companies to work for,,,Seeing how we are doing as a company and watching it continue to grow,No
,,,,,,,,,,
5,3,1,Hourly,Yes,Yes A big challenge,Help customers with everything they asked me,,,Beginning balance,Net return on investment
5,4,5,s,I do,I watch every penny spent and treat the business like it's my own,Being part of most decisions in this region,,,Allocation first and stock value next,No pretty easy to understand
5,3,1,H,Yes,Making the best decisions for HEB,My pride for our company,,,,
1,3,1,H,Yes,It helps me do the best job I can.,"When helping customers, I can see the value I bring to HEB.",,,"Allocation, because it shows how good HEB is doing and shows us how we can grow our long term investment.",I do not find it confusing.
1,3,1,H,Not particularly,,,"Make me feel like my voice, ideas and concerns actually matter. The current method of management leaves much to be desired and makes your partners feel like numbered assets, not owners or valuable contributors.","I take great pride in the work I do in my isolated department, but being an owner means taking pride in the company and store as a whole. It'd lend to a feeling of mutual accomplishment and success instead of feeling stepped on and used.","The allocation segment would be the most important, as it reflects our performance. Sure, the ending balance is nice, but comparing our improvement year over year is the most interesting in my opinion",No
,,,,,,,,,,
5,3,1,H,Kinda,Positively I care about how H‑E‑B is perceived by others and so I try to make our customers happy with our store and our brand,Nothing,,,The net return,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,6,S,Yes,"Consistently looking for ways to cut costs where able, process improvement initiatives throughout entire department/company instead of just my area",N/A NA,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,Yes,I look at the big picture and what each owner can do to make HEB better.,Just things like this survey.,,,I think all information provided is important and beneficial.,No
5,3,1,H,Yes,Making the right decisions for HEB,Pride in HEB,,,Net return,No
5,3,5,h,yes,I try to keep the budget low,,,,,
,,,,,,,,,,
2,3,1,H,? N,None No,No that's fine,,,,
7,3,5,s,yes,I make sure i am making the right decision as an owner.,Pride and Loyalty across HEB Partners,,,"i guess if i had to choose, the end balance",no
,,,,,,,,,,
,,,,,,,,,,
7,3,6,S,No,,,,,,
,,,,,,,,,,
7,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,Yes,I feel proud to be with a great company that takes care of the community and partners!,Great products great! Great stores,,,Allocation I love to see the company growth growing,A little sometimes It's fine
,,,,,,,,,,
1,3,1,H,Yes,I work day in and day out feeling like it is my store. I feel like I am running my own business,That’s about it,,,Ending statement,No
,,,,,,,,,,
,,,,,,,,,,
San Antonio,3,5,S,Not particularly,,,,,,
,,,,,,,,,,
1,3,1,H,I'm only part time and am not a PSP participant,PSP,I'm only part time and am not a PSP participant,,,I'm only part time and am not a PSP participant,I'm only part time and am not a PSP participant
Central Texas,3,1,H,Yes,It’s helped me see my department of my own. I’ve been able to think out of the box to be able to help run the department effectively and productively for the customers and partners.,Nothing else,,,All of that is important to understand psp,No
1,3,1,h,No. I have no autonomy in any other area.,,,"You could solicit more ""owner"" opinions regarding business practices, incentives, and what ""owners"" would like to see. Would be great if these were area specific & targeted. (e.g. market rec's market questions, svc recs svc questions, etc.)","Personally, more heard - which helps my mental health & my personal sense of fulfillment. Professionally, it would make me work harder at pursuit of a collective/company goals. If the goal FEELS like it's mine, like I have a part of it - I am more apt to achieve.",Ending balance. If working here has taught me anything it's the importance of the bottom line. What landed in the bank.,No
7,3,1,H,Yes,I want to be more of an asset to my store,Company appreciation,,,,
1,3,6,s,Yes,It truly makes me work harder/smarter knowing I own a piece of the company,The communication and excitement around it-- collaboration,,,Ending balance,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,S,I do not. I just see it as an additional benefit.,"I don't feel like an owner. In fact, the recent cultural and structural changes at HEB are making me feel much more disconnected from that feeling of ownership.","I would feel more like an owner if our voices were truly heard. Our department is becoming increasingly micro-managed, the increase in structure is putting a lot of stress on partners and the returning to the office with absolutely no flexible days or any flexibility at all is making reconsider staying at H-E-B long term",,,Allocation Allocation because it signals the company's commitment to sharing ownership with me,No
,,,,,,,,,,
,,,,,,,,,,
7,3,5,s,Yes,I look beyond quick fixes and doing things because they've always been done to seek out solutions that benefit H-E-B.,Empowerment and feeling like my voice is heard,,,Ending Balance,no
2,3,6,S,Yes,I am more committed to the work so that our company can keep growing strong and we can serve more customers.,Ability to make decisions on projects,,,the breakdown helps understand what impacts the ending balance,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
4,1,1,H,Yes,"I Try to Motivate My Partners With Positivity, And Remind Them How Blessed We Are To Work For This Great Family Business!!!","We Spend The Money TI Make The Money , Unlike Any Other Business",,,Understanding the Statement,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5,3,1,H,No,,,Listen to the feedback from it's partners in regards to the lack of hours in each department and compensation,Negatively Heb asks its partners to be owners but does not respect our work life balance nor do they listen to our feedback on how they are cutting our hours as well as a lack of interest I paying our overnight workers more for the work they do. If you want us to feel like owners treat us fairly instead of abusing us.,Allocation I want to know how much is being allocated to my psp,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,,,,,,,,,,
Central Texas,1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,Not really.,,,"Better pay for the years I've put into this company and more vacation time. Overall, just better benefits would be a great start.","It would make me prouder of what I do, which I already am but It could be better. I'd sacrifice more and think about a role in leadership if I was taken more seriously.","Allocation. Because its important for HEB to match what I've put in to this company. The years of hard work, sacrifices. The increase in sales and decrease in shrink that I've brought in to my department should be compensated.",No
2,3,1,H,Yes,Makes me want to perform better,Seeing my visions and ideas come to life,,,How much my hard work pays off for my allocation,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Houston,3,1,H,Yes,I do the best I can for Heb and myself. I like to make things right.,They way the upper people are there to help. They make me feel equal ..,,,Ending balance,
5,3,1,H,Yes,It empowers me to do the right thing for the customers.,Being able to reward my partners. I’m a department manager and I feel I am able to recognize my partners as I feel fit.,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2,3,1,H,Sortakinda,Do the best all the time,I know it,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,6,s,yes,makes it very personal...i know it impacts our future,"conversations with senior leaders, hearing strategic plans, assisting in others towards growing their careers",,,"the yearly allocation is the most important, feel it's a direct reflection of the forward progress we've made the past year",no
1,3,1,H,Yes,See something do something,Like I am working for myself and the other partners,,,The bottom line,No
6,3,1,H,No,,,Train management better,Majorly Sorry read the question wrong it wouldnt impact how I do my job,It all adds up,No
7,3,1,,,,,,,,
,,,,,,,,,,
1,3,1,H,Yes,I'm proud of my store.,I'm more aware of waste.,,,Gives me info on my stock.,"Wish it had a ""bottom line""."
2,3,1,H,Yes,I strive for perfection knowing that I impact the company’s production .,Feeling appreciated by my Unit Director.,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,Yes,,,,,,
,,,,,,,,,,
1,1,1,H,Yes,It impacts on what we do everyday and how into your customers,,,,,
2,3,1,H,Yes,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2,3,1,H,Yes,,,,,,
1,3,1,H,Yes,Go above and beyond the duty's to take care of the customer's,Need a bigger store in parking lot for customer's,,,Looks good,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,yes,awesome,being a good partner,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,6,s,Yes,It doesn't,Meetings with leadership,,,$$$ How much money is in there,no
,,,,,,,,,,
7,3,1,H,Yes,I'm sure to give 100% into everything I do,That we are involved in decision making on store floor,,,Allocation because we work together and see growth,No
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,I do.,I get an update of the store performance and therefore more money goes into my PSP. I improves my performance.,"Annual PAs, and feedback on my performance. When we get a bonus helps too.",,,The beginning and the end statement.,It's self explanatory. I don't find it confusing.
2,3,1,H,Y,Strive for perfection,Appreciation from Unit director.,,,Allocation and end balance,No
,,,,,,,,,,
5,3,1,H,Yes,I always do my best no matter what job I’m performing but knowing that I’m an owner makes me work harder at trying to grow the business and make money because I know the better we do financially at store level it  will help increase our PSP percentage,Hearing all the good things our customers have to say about the company and knowing your a part of that team,,,,
,,,,,,,,,,
,,,,,,,,,,
6,3,1,H,Yes,I look at my customers been my pay check and plan on taking care of them to the best of my ability.,Cause I have a job I enjoy doing,,,I would love to get a statement like this so I know what is in my account,"No looks good. Would even be greater if we could pull from it, if going through a rough time."
2,3,1,H,Yes,Making sure r product  and ready to go,Teamwork,,,,
6,3,1,H,No,,,Better pay,Better pay makes me feel a better person and more ownership,"Net return, bc everything else i can find on partner website",Not at all
,,,,,,,,,,
2,3,1,H,,,,,,,
